# SYSTEM: Ni
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_e: The average electronic temperature over all atoms in each simulation cell
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)    T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)
0         300       0         300       0         300       0         300       0         300       0         300       0         300
35.0219   328.4559  36.3627   328.8234  34.5638   329.0192  36.5606   329.2141  34.4726   328.684   29.8365   329.1612  28.8698   328.3529
35.8059   328.6158  37.1514   328.9727  35.3454   329.1751  37.3065   329.3542  35.2535   328.839   30.6187   329.3487  29.6523   328.5471
36.5929   328.7703  37.9392   329.1147  36.1279   329.3238  38.0955   329.4846  36.0384   328.9897  31.3975   329.5179  30.432    328.7428
37.373    328.919   38.7258   329.2347  36.9149   329.4677  38.8812   329.61    36.8299   329.1349  32.1785   329.6838  31.2196   328.9248
38.1578   329.0493  39.5126   329.3738  37.7028   329.6097  39.6676   329.7418  37.6132   329.2792  32.9594   329.8359  32.0017   329.1001
38.9407   329.1769  40.2993   329.4927  38.4907   329.7239  40.4552   329.8562  38.3946   329.394   33.7441   329.9924  32.7796   329.2579
39.7233   329.3104  41.0821   329.6082  39.2732   329.8575  41.2423   329.9689  39.1847   329.5279  34.5262   330.132   33.5615   329.4176
40.5132   329.4269  41.864    329.7052  40.0574   329.976   42.0331   330.0682  39.9681   329.6489  35.3018   330.2672  34.3246   329.568
41.2945   329.5402  42.656    329.8248  40.8396   330.0851  42.8162   330.1794  40.7495   329.7589  36.0847   330.3964  35.1052   329.707
42.0799   329.6398  43.4348   329.9255  41.6228   330.1849  43.6033   330.2755  41.542    329.8631  36.8685   330.5204  35.889    329.8425
42.8588   329.7536  44.2133   330.0045  42.4018   330.2945  44.3935   330.3589  42.3276   329.9703  37.6569   330.6433  36.6749   329.9733
43.6473   329.8516  44.9912   330.1052  43.1822   330.3931  45.1825   330.4548  43.1138   330.0715  38.4411   330.746   37.4639   330.103
44.4267   329.9325  45.7791   330.1898  43.9636   330.474   45.9652   330.5382  43.899    330.1562  39.2292   330.8608  38.2415   330.2118
45.2093   330.0321  46.566    330.2773  44.7539   330.5682  46.7572   330.62    44.6816   330.2478  40.0112   330.9635  39.0224   330.3271
45.9923   330.1159  47.3487   330.3407  45.5364   330.6518  47.5432   330.685   45.468    330.3327  40.7912   331.0589  39.8071   330.4382
46.7775   330.1989  48.1333   330.4268  46.3178   330.7348  48.3326   330.7732  46.2514   330.4169  41.578    331.1487  40.5934   330.5368
47.5666   330.2641  48.9153   330.4962  47.1027   330.8017  49.1202   330.8347  47.0311   330.4857  42.3644   331.2414  41.372    330.6354
48.346    330.3543  49.698    330.5617  47.888    330.8756  49.9092   330.8968  47.8147   330.558   43.1399   331.3265  42.158    330.7265
49.1339   330.4165  50.4865   330.6249  48.6742   330.9541  50.6971   330.9637  48.6029   330.6382  43.9239   331.4002  42.9339   330.8175
49.9183   330.4796  51.2731   330.6851  49.4619   331.0154  51.4799   331.0222  49.3844   330.6995  44.7062   331.48    43.7212   330.8987
50.7034   330.5479  52.059    330.7542  50.2537   331.0732  52.2655   331.0838  50.1723   330.7573  45.4917   331.5531  44.5052   330.9785
51.4797   330.6049  52.8423   330.7971  51.0416   331.1364  53.0586   331.1261  50.9555   330.8217  46.2801   331.6246  45.289    331.0569
52.2665   330.672   53.6254   330.8553  51.8249   331.2009  53.8453   331.1885  51.7367   330.884   47.0694   331.6864  46.0682   331.1309
53.0533   330.7115  54.4091   330.908   52.6021   331.2472  54.6361   331.2342  52.5165   330.9338  47.8529   331.7494  46.8419   331.199
53.8401   330.7759  55.1886   330.9579  53.3836   331.2951  55.4213   331.2851  53.3014   330.9809  48.632    331.817   47.6223   331.2597
54.6223   330.8223  55.9742   330.9956  54.1592   331.3527  56.2012   331.319   54.0728   331.0385  49.4205   331.8704  48.3718   331.3316
55.4087   330.8751  56.7526   331.0416  54.9405   331.3965  56.9831   331.3681  54.8597   331.0828  50.2035   331.9225  49.1534   331.3847
56.1932   330.9084  57.5313   331.0912  55.7296   331.4406  57.7703   331.4169  55.6381   331.129   50.9883   331.9758  49.9135   331.4398
56.98     330.9587  58.3186   331.1233  56.5111   331.478   58.5587   331.44    56.42     331.1659  51.7698   332.0306  50.6945   331.4977
57.7594   331.0093  59.0992   331.1606  57.2975   331.5256  59.3409   331.4835  57.2051   331.2128  52.5541   332.0734  51.4773   331.5503
58.5437   331.0316  59.8876   331.1999  58.082    331.5661  60.1287   331.5191  57.9837   331.2568  53.3362   332.1153  52.2632   331.6019
59.3312   331.0774  60.6791   331.2376  58.8719   331.5948  60.916    331.5582  58.7703   331.2828  54.1116   332.164   53.0514   331.644
60.1123   331.1127  61.4546   331.2667  59.6493   331.6349  61.6954   331.5758  59.5573   331.3243  54.8914   332.202   53.8393   331.6969
60.8925   331.1522  62.2342   331.2933  60.4336   331.6692  62.4827   331.6146  60.3515   331.3596  55.6767   332.2426  54.6284   331.7369
61.6734   331.1716  63.0259   331.3325  61.2153   331.7048  63.2653   331.6463  61.1336   331.3962  56.4646   332.275   55.408    331.7812
