# SYSTEM: Ni
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_e^I: The maximum local electronic temperature
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)    T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)
0         319.764   0         319.764   0         319.764   0         319.764   0         319.764   0         319.764   0         319.764
53.0533   331.102   54.4091   331.434   52.6021   331.573   54.6361   331.713   52.5165   331.264   47.8529   332.132   46.8419   331.428
53.8401   331.106   55.1886   331.374   53.3836   331.665   55.4213   331.585   53.3014   331.299   48.632    332.082   47.6223   331.551
54.6223   331.332   55.9742   331.361   54.1592   331.739   56.2012   331.693   54.0728   331.441   49.4205   332.063   48.3718   331.609
55.4087   331.256   56.7526   331.35    54.9405   331.815   56.9831   331.618   54.8597   331.514   50.2035   332.132   49.1534   331.615
56.1932   331.294   57.5313   331.337   55.7296   331.704   57.7703   331.655   55.6381   331.442   50.9883   332.241   49.9135   331.641
56.98     331.201   58.3186   331.486   56.5111   331.758   58.5587   331.771   56.42     331.561   51.7698   332.238   50.6945   331.77
57.7594   331.31    59.0992   331.557   57.2975   331.757   59.3409   331.784   57.2051   331.485   52.5541   332.313   51.4773   331.8
58.5437   331.398   59.8876   331.498   58.082    331.872   60.1287   331.768   57.9837   331.565   53.3362   332.334   52.2632   331.881
59.3312   331.462   60.6791   331.453   58.8719   331.952   60.916    331.774   58.7703   331.658   54.1116   332.41    53.0514   331.919
60.1123   331.384   61.4546   331.6     59.6493   331.908   61.6954   331.896   59.5573   331.661   54.8914   332.518   53.8393   331.974
60.8925   331.387   62.2342   331.655   60.4336   331.883   62.4827   331.952   60.3515   331.639   55.6767   332.53    54.6284   332.09
61.6734   331.541   63.0259   331.642   61.2153   332.026   63.2653   331.902   61.1336   331.8     56.4646   332.557   55.408    332.02
62.4546   331.575   63.819    331.571   62.0021   332.137   64.0472   331.895   61.9238   331.83    57.2496   332.534   56.1901   332.06
63.2453   331.512   64.6132   331.715   62.7847   332.093   64.8224   331.947   62.7077   331.85    58.0336   332.625   56.9763   332.096
64.0259   331.506   65.3959   331.771   63.5757   332.011   65.6056   332.01    63.4878   331.698   58.8127   332.659   57.7593   332.087
64.8204   331.613   66.1869   331.76    64.3596   332.061   66.3901   331.995   64.2561   331.734   59.5988   332.656   58.5534   332.185
65.6022   331.696   66.9771   331.718   65.1438   332.151   67.1742   331.987   65.0381   331.797   60.386    332.708   59.3342   332.209
66.3872   331.66    67.7638   331.731   65.9246   332.153   67.9664   332       65.8322   331.845   61.1682   332.741   60.1185   332.227
67.1816   331.709   68.5528   331.852   66.7102   332.121   68.7487   332.218   66.6125   331.805   61.9564   332.871   60.9066   332.231
67.9698   331.651   69.3368   332.014   67.491    332.145   69.5405   332.248   67.3946   331.835   62.74     332.872   61.6998   332.295
68.7504   331.815   70.1257   331.895   68.2821   332.198   70.3234   332.168   68.1754   331.842   63.5174   332.795   62.4843   332.374
69.5448   331.867   70.9104   331.888   69.0693   332.389   71.1093   332.149   68.9491   331.97    64.3005   332.802   63.2703   332.323
70.3352   331.767   71.695    331.805   69.8515   332.336   71.8898   332.119   69.7322   331.943   65.0851   332.888   64.0509   332.331
71.119    331.778   72.4768   331.996   70.6397   332.315   72.6821   332.424   70.5185   331.928   65.8647   332.89    64.8399   332.428
71.9088   331.708   73.2643   332.251   71.4281   332.253   73.4716   332.548   71.2983   331.922   66.6515   332.838   65.6258   332.493
72.7013   332.13    74.0478   332.042   72.2115   332.342   74.2613   332.302   72.086    331.99    67.4299   332.851   66.3816   332.45
73.4785   332.275   74.8323   331.927   73.006    332.627   75.0432   332.182   72.8698   332.328   68.2185   332.902   67.1776   332.428
74.2665   331.948   75.616    331.897   73.7941   332.603   75.8261   332.227   73.6564   332.318   68.9984   333.02    67.9644   332.454
75.0513   331.821   76.4046   332.006   74.5797   332.379   76.6124   332.399   74.4408   332.131   69.7884   333.006   68.7449   332.599
