# SYSTEM: Ni
# Method: Classical MD

# NOTES:
# t: time
# ps: Picoseconds
# T_lat: The average lattice temperature of the simulation cell
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)             T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)
0.142305           356.32195  2.571805           349.02627  0.069647           396.99825  0.104851           375.97701  0.080107000000002  388.85618  1.770858           346.53135  2.058834           346.54365  0.106266999999999  374.01951  1.995664           346.8929
0.151911999999999  353.84162  2.885502           349.32903  0.073243999999999  396.28807  0.126505000000002  366.03822  0.088560000000001  386.31425  2.064589           347.64105  2.331231           347.03179  0.127791999999999  364.21289  2.272858           347.74084
0.161859           351.76701  3.201153           349.69873  0.076968999999998  394.77667  0.166571999999999  351.29965  0.103435000000001  379.78923  2.355433           348.35042  2.595809           347.60037  0.162648999999998  351.13001  2.555135           348.32921
0.171937           349.7404   3.533076           350.45663  0.0809             380.26143  0.242172           343.75327  0.126895999999999  369.40487  2.656014           349.27898  2.869774           348.06199  0.243473999999999  343.5899   2.845015           348.60413
0.182314999999999  348.65139  3.865336           351.52505  0.086562000000001  391.5917   0.425089           345.66762  0.157281000000001  356.43268  2.969096           349.53513  3.150326           348.47929  0.438099000000001  345.81252  3.128279           349.06906
0.193031999999999  347.5252   4.208042           352.10724  0.092884000000002  386.86046  0.654160999999998  344.96805  0.218921999999999  344.29761  3.292137           349.64567  3.433774           348.60263  0.667016           345.86567  3.428095           349.14319
0.203928999999999  347.12512  4.56062            352.70179  0.100618999999998  383.26261  0.905322999999999  345.2057   0.391483999999998  345.13958  3.627228           350.74246  3.726271           349.73633  0.926922999999999  345.42358  3.742748           350.08715
0.215140000000002  346.97829  4.91086            352.85486  0.109648           379.21246  1.179096           346.32275  0.626452           345.78716  3.974443           351.61019  4.017049           350.40085  1.204562           345.47984  4.065405           351.01209
0.226794999999999  346.90913  5.285214           353.16238  0.120671000000002  376.27564  1.453735           347.14987  0.867872999999999  345.69153  4.320269           352.39588  4.331316           350.92752  1.485786           346.7736   4.393899           351.63639
0.2395             346.6013   5.667626           353.17583  0.134346999999998  369.66946  1.736889           348.08597  1.136356           346.10522  4.684438           352.91702  4.645212           351.20528  1.777555           347.95234  4.728104           351.80312
0.253509999999999  346.59933  6.059519           353.33523  0.153632000000002  362.63606  2.033759           349.06495  1.406633           346.84673  5.056665           352.8816   4.965759           351.46074  2.076093           348.70678  5.069152           351.88158
0.268894           346.30632  6.460528           355.58229  0.191264           351.1742   2.34935            349.61318  1.701743           347.41606  5.430824           353.08789  5.297944           351.64996  2.382572           349.3908   5.412894           352.0043
0.286235000000001  345.75321  6.842272           355.43425  0.29363            344.54572  2.675138           350.6182   2.005932           348.35555  5.822046           353.12882  5.6282             351.21784  2.697171           349.82104  5.7609             351.7885
0.306239999999999  346.08046  7.246312           353.92985  0.478836000000001  345.99837  3.01293            351.34997  2.307922           349.37872  6.217118           354.08332  5.966401           351.1303   3.019758           350.31022  6.110301           351.96067
0.330783           346.16778  7.655424           355.20977  0.699407999999998  345.94528  3.372265           351.60113  2.627964           350.02557  6.62674            356.05356  6.315475           353.09013  3.351972           350.84915  6.47621            354.24287
0.362831           345.50273  8.093279           355.34827  0.947991999999999  345.70674  3.732082           352.54873  2.951848           350.78978  7.033384           354.31804  6.668781           354.48023  3.700936           351.67913  6.842414           354.29836
0.432369999999999  345.32132  8.544869           354.55625  1.185205           346.49797  4.099294           353.23943  3.276721           351.31034  7.449195           354.01685  7.031574           353.14208  4.056232           352.77746  7.216098           352.51277
0.660613999999999  345.76611  9.010059           354.08234  1.448995           347.39887  4.485877           354.39631  3.631947           351.90849  7.87783            355.94974  7.40273            352.27519  4.421681           353.03482  7.605135           353.53621
0.923549000000001  346.28687  9.490943           354.46385  1.717112           348.35971  4.887459           354.05238  3.98963            353.26587  8.321112           354.89893  7.787705           354.13897  4.78761            353.37937  7.99739            354.64603
1.199819           346.7313   9.975854           356.2809   1.987689           349.44601  5.300877           354.6956   4.363593           353.59834  8.794367           353.98083  8.182427           353.99654  5.158671           353.71678  8.40686            353.54953
1.488379           347.45483  10.497885          355.70028  2.261014           350.33149  5.71916            354.43919  4.743788           354.12461  9.282092           354.67845  8.571992           352.77144  5.551899           354.24831  8.827147           353.08157
1.785463           348.36391  11.057029          355.81138  2.542165           350.94441  6.158335           354.67986  5.13996            354.05811  9.81238            355.76075  8.984967           352.96601  5.947937           353.586    9.255313           353.59895
2.092984           349.18793  11.645656          355.55376  2.85316            350.96766  6.614988           356.09443  5.53129            354.22254  10.367484          356.08182  9.42588            353.3939   6.351634           354.96398  9.696232           354.66872
2.403238           349.97636  12.247698          355.65438  3.163098           351.70378  7.065379           355.00729  5.934627           353.93746  10.956117          355.74356  9.860402           354.7713   6.759514           356.10546  10.13789           355.8411
2.725136           350.49493  12.891125          354.8916   3.481019           352.20186  7.563663           355.29883  6.347684           355.29579  11.561806          355.44063  10.300032          355.47947  7.174223           354.40428  10.607637          355.1957
3.048184           351.17681  13.580952          356.09882  3.80364            353.1141   8.090975           355.63935  6.780535           356.12261  12.183026          355.80198  10.74693           354.73857  7.607268           355.34538  11.092848          355.16797
3.38887            351.17634  14.251315          354.73646  4.140567           352.33925  8.682292           354.88566  7.224669           354.47715  12.824013          354.92919  11.221687          355.31827  8.063195           355.62373  11.596712          355.1051
3.751547           352.36602  14.90929           355.10128  4.47604            353.07166  9.311109           355.03366  7.67525            355.53963  13.497552          356.21902  11.689249          354.92051  8.516496           354.84904  12.116484          355.39556
4.108399           352.74561  15.623514          355.44601  4.831391           353.64028  9.924909           356.38094  8.132337           355.36504  14.184206          355.06304  12.191974          355.42424  8.997511           354.672    12.670151          355.04553
4.487302           353.77105  16.34406           355.8089   5.20645            354.30832  10.586244          355.95455  8.655275           354.4675   14.871172          355.25079  12.717399          354.76314  9.54651            354.89605  13.287627          355.10048
4.859485           353.64965  17.070509          356.01646  5.583308           354.17178  11.276442          356.11148  9.218059           354.74001  15.574792          355.5355   13.314762          355.00943  10.142088          356.33169  13.935008          355.96764
5.267226           353.62003  17.797041          354.86497  5.971238           354.03115  11.974217          355.87517  9.814038           355.66232  16.294355          355.84849  13.929584          356.0764   10.777626          355.43219  14.565774          353.61879
5.668053           353.89575  18.530875          355.92645  6.374713           354.96401  12.684237          355.46756  10.433235          355.92816  17.016774          356.10137  14.524287          353.54389  11.442616          356.13823  15.226118          355.68802
6.08677            354.22178  19.26873           356.19197  6.799892           355.65489  13.410921          356.10893  11.069484          355.61067  17.734281          354.75579  15.158231          355.6448   12.122589          355.44075  15.927989          355.32022
6.499949           355.72276  20.022774          354.51409  7.226099           354.12479  14.144268          355.57563  11.720143          355.59202  18.473826          355.89512  15.840324          355.07817  12.817946          355.68308  16.625999          354.6903
6.938981           355.15733  20.780496          355.66609  7.679494           355.31084  14.883831          355.7168   12.380912          355.48055  19.202892          356.15913  16.526423          354.96531  13.534386          355.92471  17.326427          355.96857
7.397167           354.4507   21.538493          355.27288  8.155224           355.47451  15.619273          355.3815   13.080526          355.07858  19.950162          354.39788  17.227979          355.77999  14.251397          354.96028  18.040668          354.87645
7.863136           355.69328  22.298635          356.03356  8.649683           354.79048  16.370467          355.81184  13.799558          356.23567  20.698374          355.47383  17.929405          354.45882  14.970068          355.61173  18.765077          355.89269
8.352483           354.76053  23.057016          355.96672  9.182384           355.1867   17.113561          356.23741  14.5065            354.45987  21.406719          355.74527  18.654264          355.73272  15.706364          355.51604  19.498929          356.12473
8.831978           354.35003  23.807657          355.18217  9.776026           355.55122  17.856007          355.05102  15.21177           355.80117  22.147474          356.43939  19.384049          356.08398  16.438935          355.28452  20.248713          354.03347
9.339268           354.99571  24.562486          356.36317  10.417529          355.56794  18.607048          355.85616  15.946712          355.97894  22.903271          355.67724  20.124756          353.70329  17.173334          356.61011  20.994914          356.00899
9.901051           355.96487  25.316515          355.78318  11.094954          355.75438  19.350426          355.86879  16.687945          355.10897  23.657412          354.84638  20.870189          355.59572  17.922062          355.06561  21.718872          354.87464
10.505571          355.68959  26.071727          355.30067  11.768363          355.0273   20.097589          354.54236  17.429641          355.74119  24.419384          356.52973  21.623451          354.83305  18.663597          356.24366  22.465207          356.09412
11.132093          355.74966  26.831372          355.49486  12.474046          355.72609  20.853489          355.89016  18.168427          355.5281   25.174063          355.36582  22.370134          355.92525  19.411172          355.99509  23.215588          355.32128
11.783467          355.51228  27.594874          356.14357  13.200942          355.50826  21.605463          355.2982   18.908661          356.13676  25.92623           355.11082  23.124316          355.33034  20.161621          354.79376  23.966307          355.04749
12.447543          355.772    28.35136           356.04189  13.93843           356.0159   22.36535           356.16105  19.65906           355.59625  26.678661          355.69531  23.874694          354.65233  20.912795          355.81901  24.717042          356.27288
13.143394          355.43676  29.111652          355.15548  14.676585          354.93096  23.124014          355.71463  20.415718          355.45125  27.4428            355.64805  24.61568           356.28677  21.666317          354.9753   25.476034          355.54957
13.854983          356.16786  29.868208          356.02396  15.414646          355.56656  23.878675          355.25029  21.170418          355.90937  28.194306          356.40725  25.373428          355.22516  22.419514          356.06389  26.237353          355.10667
