# SYSTEM: Ni
# Method: Classical MD

# NOTES:
# t: time
# ps: Picoseconds
# N_FP: Number of defected atoms
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)             N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def
0.182314999999999  32318  3.865336           18899  0.086562000000001  5985   0.425089           39555  0.157281000000001  24176  2.969096           24071  3.150326           26064  0.438099000000001  39456  3.128279           24358
0.193031999999999  34246  4.208042           17420  0.092884000000002  7093   0.654160999999998  38586  0.218921999999999  37518  3.292137           22411  3.433774           24945  0.667016           37739  3.428095           23290
0.203928999999999  36134  4.56062            15779  0.100618999999998  8473   0.905322999999999  36384  0.391483999999998  41189  3.627228           20547  3.726271           24025  0.926922999999999  36094  3.742748           21889
0.215140000000002  37800  4.91086            14529  0.109648           10435  1.179096           33235  0.626452           39446  3.974443           18686  4.017049           22886  1.204562           33716  4.065405           21060
0.226794999999999  39127  5.285214           12919  0.120671000000002  13129  1.453735           30397  0.867872999999999  37693  4.320269           17119  4.331316           22055  1.485786           31361  4.393899           19640
0.2395             40287  5.667626           11401  0.134346999999998  16447  1.736889           28581  1.136356           35337  4.684438           15296  4.645212           20982  1.777555           28512  4.728104           18442
0.253509999999999  41132  6.059519           10028  0.153632000000002  21587  2.033759           25855  1.406633           32640  5.056665           13803  4.965759           19790  2.076093           26245  5.069152           17100
0.268894           41781  6.460528           8607   0.191264           30617  2.34935            23402  1.701743           30030  5.430824           11982  5.297944           18442  2.382572           24244  5.412894           16188
0.286235000000001  42019  6.842272           7372   0.29363            41882  2.675138           21065  2.005932           27413  5.822046           10495  5.6282             17470  2.697171           21811  5.7609             15092
0.306239999999999  42074  7.246312           6521   0.478836000000001  38878  3.01293            19004  2.307922           24973  6.217118           9299   5.966401           16279  3.019758           20124  6.110301           14066
0.330783           41968  7.655424           5889   0.699407999999998  36382  3.372265           16575  2.627964           22582  6.62674            7946   6.315475           14897  3.351972           18542  6.47621            13002
0.362831           41698  8.093279           5141   0.947991999999999  34190  3.732082           14384  2.951848           20333  7.033384           6827   6.668781           13797  3.700936           16945  6.842414           11907
0.432369999999999  40924  8.544869           4427   1.185205           31751  4.099294           12311  3.276721           17889  7.449195           5935   7.031574           12551  4.056232           15227  7.216098           11142
0.660613999999999  37756  9.010059           3834   1.448995           28705  4.485877           10357  3.631947           15938  7.87783            4935   7.40273            11772  4.421681           13490  7.605135           10305
0.923549000000001  34979  9.490943           3280   1.717112           26174  4.887459           8302   3.98963            14172  8.321112           4032   7.787705           11050  4.78761            12080  7.99739            9194
1.199819           32082  9.975854           2962   1.987689           23796  5.300877           6986   4.363593           12332  8.794367           3535   8.182427           9911   5.158671           10496  8.40686            8157
1.488379           29306  10.497885          2871   2.261014           21905  5.71916            5658   4.743788           10878  9.282092           3106   8.571992           9202   5.551899           8869   8.827147           7280
1.785463           26867  11.057029          2791   2.542165           20162  6.158335           4682   5.13996            9338   9.81238            2858   8.984967           8234   5.947937           7380   9.255313           6594
2.092984           24955  11.645656          2792   2.85316            18499  6.614988           3849   5.53129            7874   10.367484          2716   9.42588            7493   6.351634           6271   9.696232           5776
2.403238           23272  12.247698          2684   3.163098           16584  7.065379           3294   5.934627           6740   10.956117          2674   9.860402           6919   6.759514           5160   10.13789           5022
2.725136           21109  12.891125          2700   3.481019           15041  7.563663           3010   6.347684           5771   11.561806          2657   10.300032          6441   7.174223           4394   10.607637          4487
3.048184           19444  13.580952          2683   3.80364            13817  8.090975           2880   6.780535           4843   12.183026          2651   10.74693           5789   7.607268           3857   11.092848          4114
3.38887            17874  14.251315          2702   4.140567           12749  8.682292           2718   7.224669           4111   12.824013          2636   11.221687          5375   8.063195           3300   11.596712          3817
3.751547           15851  14.90929           2641   4.47604            11452  9.311109           2575   7.67525            3812   13.497552          2597   11.689249          4953   8.516496           2906   12.116484          3671
4.108399           14111  15.623514          2645   4.831391           10318  9.924909           2509   8.132337           3303   14.184206          2552   12.191974          4825   8.997511           2636   12.670151          3558
4.487302           12595  16.34406           2635   5.20645            8799   10.586244          2481   8.655275           3126   14.871172          2546   12.717399          4586   9.54651            2446   13.287627          3603
4.859485           11110  17.070509          2609   5.583308           7821   11.276442          2465   9.218059           3057   15.574792          2611   13.314762          4387   10.142088          2473   13.935008          3528
5.267226           9416   17.797041          2590   5.971238           7062   11.974217          2467   9.814038           2957   16.294355          2538   13.929584          4148   10.777626          2404   14.565774          3441
5.668053           8038   18.530875          2591   6.374713           6263   12.684237          2449   10.433235          2826   17.016774          2552   14.524287          4179   11.442616          2406   15.226118          3427
6.08677            7034   19.26873           2562   6.799892           5389   13.410921          2463   11.069484          2788   17.734281          2554   15.158231          4228   12.122589          2361   15.927989          3421
