# SYSTEM: CrFeCoNi
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_e: The average electronic temperature over all atoms in each simulation cell
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions and different high entropy alloy (HEA) structure

#t(ps)    T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)
0         300       0         300       0         300       0         300       0         300       0         300       0         300       0         300       0         300       0         300
39.7262   328.0684  31.3973   331.5762  38.3192   330.0082  31.3324   331.3726  39.7601   331.6035  19.1291   329.6012  36.5868   331.4406  31.8954   330.962   31.6241   331.5039  25.0395   327.7283
40.4912   328.1201  32.1564   331.6709  39.0828   330.0441  32.0939   331.4701  40.5168   331.664   19.8686   329.8505  37.3451   331.51    32.6579   331.0571  32.383    331.5937  25.7925   327.8614
41.2515   328.1563  32.9177   331.7475  39.8515   330.1079  32.8614   331.5465  41.2734   331.7053  20.6194   330.0578  38.1133   331.5764  33.4194   331.1406  33.1393   331.6629  26.5577   327.9764
42.0118   328.1914  33.6764   331.8248  40.6089   330.1606  33.6256   331.6313  42.0317   331.7454  21.37     330.2656  38.8785   331.6137  34.1762   331.2383  33.8551   331.7352  27.3222   328.0923
42.7779   328.2284  34.4358   331.9182  41.3737   330.1999  34.3841   331.7177  42.7986   331.7914  22.1171   330.4605  39.6348   331.6702  34.9351   331.3207  34.6163   331.8223  28.0835   328.1942
43.5469   328.2721  35.1908   331.9789  42.1299   330.2352  35.1426   331.787   43.5571   331.8433  22.8192   330.6448  40.3944   331.7285  35.6903   331.3899  35.3657   331.8782  28.8429   328.3072
44.3094   328.2964  35.95     332.0441  42.9002   330.2831  35.9038   331.8491  44.3212   331.8687  23.5733   330.8182  41.1553   331.7695  36.4522   331.46    36.1181   331.9394  29.6045   328.3923
45.0816   328.3188  36.7149   332.108   43.6633   330.3262  36.6684   331.916   45.0778   331.8958  24.3208   330.9672  41.9217   331.8102  37.2129   331.5318  36.8762   332.0011  30.3649   328.4797
45.8492   328.354   37.4708   332.1714  44.4255   330.3469  37.4265   331.9779  45.8296   331.9371  25.0838   331.1346  42.6847   331.8461  37.9761   331.6033  37.6366   332.062   31.1369   328.5696
46.6198   328.3829  38.2332   332.2296  45.1876   330.3783  38.188    332.0385  46.5885   331.9715  25.8413   331.2803  43.4467   331.8953  38.7369   331.6436  38.3973   332.1125  31.902    328.6436
